date,avg_amt
2022-02-26,35313.83654369866
2022-02-28,28350.88136698017
2022-03-01,25689.10427172343
2022-03-02,27050.813331664613
2022-03-03,40328.65711144967
2022-03-04,37404.539665793985
2022-03-05,27023.25081509676
2022-03-07,26409.6744959668
2022-03-08,20458.171455001495
2022-03-09,20636.917018464763
2022-03-10,21917.034155488214
2022-03-11,19171.228888981754
2022-03-12,35499.606090831374
2022-03-14,14226.626277885547
2022-03-15,17372.589246523035
2022-03-16,21550.32203718103
2022-03-17,53334.86417167685
2022-03-18,27263.97666717569
2022-03-19,24174.059802228647
2022-03-21,42957.33863346967
2022-03-22,23417.044851923423
2022-03-23,33596.03539477866
2022-03-24,26144.41472884765
2022-03-25,36896.273112800765
2022-03-26,31141.79114579753
2022-03-28,70564.38861482505
2022-03-29,74823.94635559773
2022-03-30,51212.583083791236
2022-03-31,60990.173308622114
2022-04-01,85792.91786298178
2022-04-02,54538.70620919659
2022-04-04,32433.46206433222
2022-04-05,105560.56885899954
2022-04-06,30974.476150607807
2022-04-07,48967.32711639239
2022-04-08,61517.49306411154
2022-04-09,88064.52915614839
2022-04-11,81232.25867079839
2022-04-12,69169.940569198
2022-04-13,102039.64696158186
2022-04-14,83027.68455891992
2022-04-15,128348.44360487799
2022-04-16,83965.19970275623
2022-04-18,78992.28817529486
2022-04-19,132554.23150859878
2022-04-20,192315.37575837187
2022-04-21,123701.77697449083
2022-04-22,127095.06223055325
2022-04-23,159663.61824162884
2022-04-25,137483.59622627022
2022-04-26,108594.84450631739
2022-04-27,114971.36860111142
2022-04-28,147427.8597858867
2022-04-29,161637.14047861547
2022-04-30,210866.9197338014
2022-05-02,171897.33800399493
2022-05-03,161782.29525243188
2022-05-04,230363.7450300202
2022-05-05,237296.31090918524
2022-05-06,251882.18416779907
2022-05-08,201286.50678971314
2022-05-09,249170.68699719466
2022-05-10,267830.8175367995
2022-05-11,277720.7423003881
2022-05-12,286603.80632172764
2022-05-13,282847.45865814376
2022-05-14,265147.168517567
2022-05-16,292372.65033870656
2022-05-17,251552.1685215417
2022-05-18,296136.1286230082
2022-05-19,430103.2745568581
2022-05-20,554314.5641652461
2022-05-21,392462.0428166771
2022-05-23,276485.9641217568
2022-05-24,250694.19856262623
2022-05-25,353189.82769537636
2022-05-26,395251.5363158152
2022-05-27,406925.9370690181
2022-05-28,611245.7790943396
2022-05-30,463734.4354306627
2022-05-31,386245.92320245894
2022-06-01,395944.8726584746
2022-06-02,400959.5617327537
2022-06-03,537435.827123951
2022-06-04,483155.9685102705
2022-06-06,303969.312203637
2022-06-07,316898.5438565096
2022-06-08,368637.0432050824
2022-06-09,321266.34067393834
2022-06-10,418942.68493079493
2022-06-11,351704.225798704
2022-06-13,376469.2270061775
2022-06-14,360843.03459188173
2022-06-15,395376.3463800051
2022-06-16,339181.8201381774
2022-06-17,304074.052618412
2022-06-18,398185.71530794504
2022-06-20,339277.59161204903
2022-06-21,674765.1246622456
2022-06-22,450383.222049369
2022-06-24,551367.8372832455
2022-06-25,710422.8256895528
2022-07-02,422168.7897080491
2022-07-07,433485.79332281096
2022-07-09,749947.8263878807
2022-07-14,442372.76291236765
2022-07-16,525670.5889736987
2022-07-21,506064.2901617083
2022-07-23,353658.3634418588
2022-07-25,401047.315420864
2022-07-26,344806.5506713787
2022-07-28,292193.9959519082
2022-07-30,362939.05145443784
2022-08-05,287778.4774389973
2022-08-06,339844.32011289935
2022-08-11,236935.5456715959
2022-08-13,276899.3004909321
2022-08-20,211835.78934780927
2022-08-27,227635.6381337966
2022-09-03,152639.66615792905
2022-09-10,161905.2968899462
2022-09-17,135792.89716218322
2022-09-24,120398.31661943317
2022-10-01,133168.2534652114
2022-10-08,70456.12042028345
2022-10-15,118140.23044209626
2022-10-22,104904.15414649942
2022-10-29,178549.22142032319
2023-01-07,386538.7412411169
2023-01-14,177511.2159895257
2023-01-21,165123.1769751121
2023-01-28,172248.79593798608
2023-02-11,243699.77589648622
2023-02-18,341254.2412481256
2023-03-04,484607.74173992267
2023-03-11,207436.36076606956
2023-03-18,334911.245521677
2023-03-25,235740.59367639758
2023-04-01,209611.47298664047
2023-04-08,261949.30733085377
2023-04-15,109006.17163627059
2023-04-22,150910.73595827277
2023-04-29,184861.87271517512
2023-05-06,130777.85063079956
2023-05-13,118120.6543505946
2023-05-20,106320.1373834274
2023-05-27,167863.59816427302
2023-06-03,134865.70606546823
2023-06-10,156516.29015633714
2023-06-17,89054.10019090358
2023-06-24,118466.44254203922
2023-07-01,83559.57233868098
2023-07-08,167138.4167554803
2023-07-15,97930.21328435908
2023-07-22,130836.75532338109
2023-07-29,158318.64943901155
2023-08-05,111465.51454287674
2023-08-12,227442.39132712383
2023-08-19,226925.8885130952
2023-08-26,295328.7231292002
2023-09-02,203308.87034760255
2023-09-09,156785.61889589592
2023-09-16,221444.4338721119
2023-09-23,219997.0456076067
2023-09-30,139250.65200491456
2023-10-07,104429.40610961834
2023-10-14,151885.3289082504
2023-10-21,95027.97757497634
2023-10-28,95777.01649759086
2023-11-04,102262.43956067074
2023-11-11,142218.46186967823
2023-11-18,112294.17193505191
2023-11-25,347178.7707761052
2023-12-02,247596.10396583658
2023-12-09,199050.98211595244
2023-12-16,276331.9312315143
2023-12-23,335882.31142613967
2023-12-30,290626.2421121475
2024-01-06,496821.0169242131
2022-10-30,193073.76165497187
2022-11-06,138422.4170957523
2022-11-20,241687.69693560363
2022-11-27,267658.6904578438
2022-12-11,600538.1092886719
2023-01-22,190462.9165338733
2023-01-29,157921.4414590491
2023-02-12,353004.65058501577
2023-03-19,514711.34034744697
2023-03-26,205395.57233976314
2023-04-09,145652.8053968004
2023-04-23,87679.59009110909
2023-04-30,73162.06630205647
2023-05-07,149675.35971404065
2023-05-14,117227.46687755009
2023-05-21,80762.10599796704
2023-06-04,70802.43238701062
2023-06-25,75304.13913399185
2023-07-09,96519.33878375472
2023-07-16,105590.27847859956
2023-07-23,117465.77568154951
2023-07-30,118436.02965232704
2023-08-06,188930.10352018685
2023-08-13,162958.52397876114
2023-08-20,172797.53847176267
2023-08-27,260166.23131611364
2023-09-10,176352.10568015388
2023-09-17,109594.9303710928
2023-09-24,100007.79102633645
2023-10-15,99517.64624496225
2023-10-22,100394.19947996801
2023-10-29,84263.85164260364
2023-11-05,114365.85314936524
2023-11-19,141904.50812239846
2023-11-26,263991.769584261
2023-12-03,174700.09953960634
2023-12-17,238384.6351602326
2024-01-07,280650.3380016011
2022-12-31,436017.0655760433
2023-02-25,381725.8894414584
2023-02-19,312930.6553645165
2022-06-23,450049.2665061666
2020-11-23,91518.66264118701
2020-11-24,112744.01346577426
2020-11-25,79635.43508067004
2020-11-26,112821.96656613529
2020-11-27,82303.40451931018
2020-11-28,80599.20707795327
2020-11-29,218594.67018454205
2020-11-30,105818.71807440955
2020-12-01,138338.35892538945
2020-12-02,100135.75523388546
2020-12-03,146667.48597629406
2020-12-04,113810.04247982487
2020-12-05,109968.51515100745
2020-12-06,174341.4162343136
2020-12-07,115767.98196445435
2020-12-08,169203.05214708214
2020-12-09,247033.67224242323
2020-12-10,179008.8690298508
2020-12-11,286808.69075338676
2020-12-12,230951.49637890846
2020-12-13,300699.55420228525
2020-12-14,216514.78202703883
